ID,loan_type,loan_purpose,business_or_commercial,rate_of_interest
24961,type1,p1,nob/c,4.875
24962,type1,p3,nob/c,4.25
24963,type3,p1,nob/c,4.5
24964,type1,p4,nob/c,3.875
24965,type1,p1,nob/c,4.375
24966,type1,p4,nob/c,0
24967,type1,p1,nob/c,4.875
24968,type1,p4,nob/c,3.875
24969,type1,p4,nob/c,3.5
24970,type1,p4,nob/c,3.375
24971,type2,p1,b/c,3.5
24972,type1,p1,nob/c,3.99
24973,type1,p4,nob/c,3.625
24974,type1,p4,nob/c,0
24975,type2,p1,b/c,0
24976,type1,p1,nob/c,0
24977,type3,p4,nob/c,3.75
24978,type1,p3,nob/c,0
24979,type1,p3,nob/c,4.5
24980,type1,p4,nob/c,4.75
24981,type1,p3,nob/c,3.99
24982,type1,p3,nob/c,3.875
24983,type3,p1,nob/c,3.5
24984,type1,p4,nob/c,0
24985,type2,p3,b/c,4.75
24986,type3,p4,nob/c,0
24987,type1,p4,nob/c,3.625
24988,type1,p1,nob/c,3.99
24989,type1,p1,nob/c,3.75
24990,type1,p1,nob/c,4.875
24991,type1,p4,nob/c,0
24992,type2,p1,b/c,3.375
24993,type2,p4,b/c,0
24994,type1,p4,nob/c,3.25
24995,type1,p3,nob/c,4.125
24996,type1,p1,nob/c,0
24997,type1,p1,nob/c,4.75
24998,type1,p1,nob/c,4.375
24999,type1,p4,nob/c,3.5
25000,type2,p1,b/c,0
25001,type1,p3,nob/c,0
25002,type1,p3,nob/c,3.99
25003,type1,p4,nob/c,4.875
25004,type1,p1,nob/c,0
25005,type2,p1,b/c,3.875
25006,type3,p4,nob/c,2.99
25007,type1,p4,nob/c,4.125
25008,type2,p4,b/c,0
25009,type1,p4,nob/c,3.375
25010,type1,p1,nob/c,4.75
25011,type3,p3,nob/c,4.25
25012,type1,p1,nob/c,4.25
25013,type3,p4,nob/c,3.99
25014,type1,p3,nob/c,0
25015,type3,p4,nob/c,3.125
25016,type1,p4,nob/c,3.625
25017,type1,p4,nob/c,3.625
25018,type1,p3,nob/c,4.5
25019,type1,p4,nob/c,4
25020,type1,p3,nob/c,3.75
25021,type1,p1,nob/c,5.19
25022,type1,p3,nob/c,4.875
25023,type2,p1,b/c,4.49
25024,type2,p3,b/c,3.375
25025,type1,p4,nob/c,0
25026,type1,p3,nob/c,4.5
25027,type1,p3,nob/c,0
25028,type1,p4,nob/c,3.875
25029,type1,p4,nob/c,4.375
25030,type1,p4,nob/c,0
25031,type1,p1,nob/c,3.875
25032,type1,p4,nob/c,4.125
25033,type3,p4,nob/c,0
25034,type1,p3,nob/c,0
25035,type1,p3,nob/c,4.875
25036,type1,p1,nob/c,3.75
25037,type3,p4,nob/c,2.875
25038,type3,p1,nob/c,5.125
25039,type2,p3,b/c,0
25040,type1,p3,nob/c,4.625
25041,type1,p1,nob/c,4
25042,type1,p3,nob/c,4.875
25043,type1,p4,nob/c,3.99
25044,type2,p4,b/c,3.375
25045,type2,p3,b/c,3.99
25046,type1,p3,nob/c,4.56
25047,type1,p4,nob/c,0
25048,type1,p3,nob/c,3.99
25049,type2,p1,b/c,0
25050,type1,p3,nob/c,3.625
25051,type3,p4,nob/c,3.125
25052,type1,p3,nob/c,3.625
25053,type1,p4,nob/c,3.625
25054,type1,p4,nob/c,3.375
25055,type1,p4,nob/c,3.99
25056,type1,p3,nob/c,4.125
25057,type1,p1,nob/c,4.125
25058,type2,p4,b/c,0
25059,type1,p1,nob/c,3.75
25060,type1,p3,nob/c,4.375
25061,type2,p4,b/c,0
25062,type1,p4,nob/c,3.5
25063,type2,p2,b/c,4.125
25064,type1,p1,nob/c,4.5
25065,type2,p4,b/c,0
25066,type2,p1,b/c,0
25067,type1,p4,nob/c,4.5
25068,type2,p3,b/c,3.625
25069,type1,p2,nob/c,3.7
25070,type3,p1,nob/c,4.25
25071,type1,p4,nob/c,4.5
25072,type2,p1,b/c,0
25073,type2,p3,b/c,3.99
25074,type1,p4,nob/c,2.99
25075,type1,p1,nob/c,0
25076,type2,p3,b/c,4.625
25077,type1,p4,nob/c,3.75
25078,type2,p1,b/c,4.125
25079,type1,p3,nob/c,4.5
25080,type2,p1,b/c,0
25081,type3,p4,nob/c,3.75
25082,type1,p1,nob/c,0
25083,type1,p1,nob/c,0
25084,type1,p2,nob/c,0
25085,type2,p3,b/c,0
25086,type1,p2,nob/c,4.25
25087,type2,p4,b/c,3.75
25088,type1,p1,nob/c,4.56
25089,type1,p4,nob/c,4.25
25090,type1,p1,nob/c,3.5
25091,type1,p4,nob/c,4.875
25092,type1,p4,nob/c,3.625
25093,type1,p4,nob/c,0
25094,type1,p3,nob/c,3.875
25095,type2,p2,b/c,4.75
25096,type3,p4,nob/c,2.75
25097,type1,p3,nob/c,4.99
25098,type1,p4,nob/c,0
25099,type1,p4,nob/c,4.375
25100,type1,p1,nob/c,4.75
25101,type1,p4,nob/c,0
25102,type2,p4,b/c,3.375
25103,type1,p4,nob/c,4.25
25104,type3,p1,nob/c,3.625
25105,type1,p4,nob/c,3.625
25106,type2,p3,b/c,0
25107,type1,p3,nob/c,4.75
25108,type1,p3,nob/c,4.875
25109,type1,p2,nob/c,4.875
25110,type3,p3,nob/c,0
25111,type1,p4,nob/c,0
25112,type1,p3,nob/c,0
25113,type1,p4,nob/c,3.875
25114,type1,p4,nob/c,0
25115,type1,p3,nob/c,0
25116,type1,p4,nob/c,3.25
25117,type1,p3,nob/c,4.375
25118,type2,p1,b/c,3.375
25119,type1,p4,nob/c,3.75
25120,type1,p3,nob/c,0
25121,type2,p3,b/c,3.5
25122,type1,p3,nob/c,4.75
25123,type1,p3,nob/c,4.125
25124,type2,p4,b/c,3.625
25125,type1,p3,nob/c,3.99
25126,type1,p4,nob/c,4.375
25127,type1,p4,nob/c,3.625
25128,type1,p3,nob/c,4.5
25129,type1,p3,nob/c,4.875
25130,type1,p1,nob/c,0
25131,type1,p3,nob/c,0
25132,type1,p1,nob/c,4.5
25133,type1,p4,nob/c,3.99
25134,type1,p3,nob/c,3.99
25135,type1,p3,nob/c,0
25136,type1,p4,nob/c,0
25137,type1,p3,nob/c,4.25
25138,type1,p3,nob/c,4.875
25139,type1,p3,nob/c,0
25140,type1,p1,nob/c,4.25
25141,type1,p4,nob/c,3.99
25142,type1,p3,nob/c,4.75
25143,type1,p3,nob/c,3.875
25144,type1,p4,nob/c,0
25145,type1,p2,nob/c,3.625
25146,type1,p4,nob/c,4.375
25147,type1,p1,nob/c,0
25148,type2,p3,b/c,3.75
25149,type1,p4,nob/c,4.75
25150,type1,p4,nob/c,0
25151,type1,p3,nob/c,4.625
25152,type3,p3,nob/c,3.625
25153,type1,p4,nob/c,3.99
25154,type1,p1,nob/c,4.99
25155,type1,p1,nob/c,0
25156,type2,p1,b/c,3.75
25157,type1,p3,nob/c,3.625
25158,type1,p3,nob/c,0
25159,type1,p3,nob/c,0
25160,type1,p3,nob/c,3.625
25161,type1,p1,nob/c,4.125
25162,type2,p3,b/c,3.99
25163,type1,p1,nob/c,3.875
25164,type2,p3,b/c,0
25165,type1,p1,nob/c,3.99
25166,type1,p1,nob/c,0
25167,type1,p3,nob/c,0
25168,type1,p4,nob/c,4.375
25169,type1,p1,nob/c,3.875
25170,type1,p4,nob/c,3.875
25171,type1,p1,nob/c,0
25172,type1,p4,nob/c,3.875
25173,type1,p4,nob/c,3.5
25174,type1,p3,nob/c,4.99
25175,type1,p4,nob/c,3.99
25176,type1,p2,nob/c,3.99
25177,type1,p1,nob/c,0
25178,type1,p4,nob/c,3.5
25179,type1,p3,nob/c,3.875
25180,type2,p3,b/c,4.75
25181,type1,p3,nob/c,4.5
25182,type1,p4,nob/c,4
25183,type1,p4,nob/c,0
25184,type1,p1,nob/c,3.5
25185,type1,p4,nob/c,3.25
25186,type1,p3,nob/c,4.75
25187,type3,p1,nob/c,0
25188,type3,p1,nob/c,4.375
25189,type1,p3,nob/c,3.875
25190,type1,p4,nob/c,0
25191,type2,p4,b/c,0
25192,type1,p4,nob/c,0
25193,type1,p1,nob/c,3.99
25194,type1,p3,nob/c,3.625
25195,type1,p4,nob/c,3.5
25196,type3,p4,nob/c,2.75
25197,type2,p1,b/c,5.25
25198,type3,p1,nob/c,4.125
25199,type1,p1,nob/c,0
25200,type2,p3,b/c,3.99
25201,type2,p3,b/c,4.49
25202,type3,p1,nob/c,3.49
25203,type1,p3,nob/c,0
25204,type1,p1,nob/c,5
25205,type1,p4,nob/c,3.99
25206,type1,p4,nob/c,3.5
25207,type1,p3,nob/c,4
25208,type3,p3,nob/c,3.49
25209,type1,p4,nob/c,3.5
25210,type1,p3,nob/c,4.5
25211,type1,p1,nob/c,4.25
25212,type1,p3,nob/c,4.99
25213,type1,p3,nob/c,4.625
25214,type1,p4,nob/c,0
25215,type1,p1,nob/c,3.75
25216,type2,p3,b/c,0
25217,type1,p3,nob/c,0
25218,type1,p1,nob/c,0
25219,type1,p4,nob/c,0
25220,type1,p1,nob/c,3.625
25221,type1,p4,nob/c,3.875
25222,type1,p3,nob/c,4.25
25223,type1,p3,nob/c,3.625
25224,type3,p4,nob/c,2.99
25225,type1,p4,nob/c,3
25226,type1,p3,nob/c,0
25227,type1,p4,nob/c,3.99
25228,type1,p4,nob/c,4
25229,type1,p3,nob/c,3.75
25230,type2,p3,b/c,0
25231,type1,p1,nob/c,0
25232,type1,p4,nob/c,3.25
25233,type1,p1,nob/c,4.75
25234,type3,p3,nob/c,0
25235,type1,p4,nob/c,4.5
25236,type1,p3,nob/c,0
25237,type2,p3,b/c,0
25238,type1,p3,nob/c,0
25239,type1,p3,nob/c,0
25240,type1,p4,nob/c,0
25241,type2,p4,b/c,4.25
25242,type1,p4,nob/c,0
25243,type2,p3,b/c,3.5
25244,type1,p4,nob/c,4.56
25245,type1,p4,nob/c,3.75
25246,type1,p3,nob/c,0
25247,type1,p4,nob/c,3.5
25248,type2,p3,b/c,0
25249,type1,p3,nob/c,0
25250,type1,p3,nob/c,3.99
25251,type1,p4,nob/c,0
25252,type3,p4,nob/c,3.99
25253,type2,p3,b/c,3.99
25254,type1,p4,nob/c,3.99
25255,type1,p4,nob/c,0
25256,type3,p1,nob/c,3.25
25257,type2,p3,b/c,3.25
25258,type3,p4,nob/c,3.125
25259,type1,p3,nob/c,3.25
25260,type3,p4,nob/c,3.125
25261,type3,p4,nob/c,3.5
25262,type1,p3,nob/c,4.875
25263,type1,p4,nob/c,3.99
25264,type1,p4,nob/c,4.25
25265,type1,p4,nob/c,3.875
25266,type1,p1,nob/c,3.75
25267,type1,p4,nob/c,3.625
25268,type1,p3,nob/c,4.625
25269,type1,p3,nob/c,3.99
25270,type1,p4,nob/c,4.875
25271,type1,p4,nob/c,4.125
25272,type1,p3,nob/c,5.375
25273,type1,p4,nob/c,3.25
25274,type1,p3,nob/c,5.375
25275,type2,p3,b/c,3.5
25276,type1,p3,nob/c,0
25277,type1,p3,nob/c,4.25
25278,type1,p3,nob/c,3.25
25279,type3,p3,nob/c,0
25280,type1,p3,nob/c,4.25
25281,type1,p4,nob/c,3
25282,type1,p1,nob/c,4.25
25283,type1,p4,nob/c,0
25284,type1,p4,nob/c,0
25285,type3,p3,nob/c,0
25286,type1,p3,nob/c,0
25287,type1,p1,nob/c,3.99
25288,type1,p4,nob/c,0
25289,type1,p3,nob/c,4.625
25290,type1,p1,nob/c,0
25291,type2,p3,b/c,0
25292,type2,p3,b/c,0
25293,type1,p3,nob/c,4.75
25294,type2,p4,b/c,3.5
25295,type1,p1,nob/c,4.875
25296,type1,p3,nob/c,3.625
25297,type1,p3,nob/c,3.625
25298,type1,p3,nob/c,4.25
25299,type2,p4,b/c,0
25300,type1,p3,nob/c,0
25301,type3,p1,nob/c,3.125
25302,type1,p3,nob/c,0
25303,type3,p4,nob/c,2.99
25304,type2,p3,b/c,4.25
25305,type1,p1,nob/c,0
25306,type1,p3,nob/c,4.99
25307,type1,p2,nob/c,4.25
25308,type3,p4,nob/c,3.75
25309,type2,p3,b/c,4.625
25310,type2,p3,b/c,4.75
25311,type1,p4,nob/c,0
25312,type1,p1,nob/c,3.5
25313,type3,p3,nob/c,3.49
25314,type1,p1,nob/c,3.75
25315,type1,p3,nob/c,4.5
25316,type1,p1,nob/c,3.875
25317,type1,p4,nob/c,5.125
25318,type3,p4,nob/c,0
25319,type3,p1,nob/c,3.99
25320,type2,p3,b/c,3.625
25321,type1,p4,nob/c,3.625
25322,type1,p3,nob/c,4.625
25323,type1,p4,nob/c,3.99
25324,type2,p3,b/c,4.375
25325,type1,p4,nob/c,3.875
25326,type3,p3,nob/c,4.125
25327,type1,p3,nob/c,3.625
25328,type2,p3,b/c,0
25329,type2,p1,b/c,3.625
25330,type3,p4,nob/c,3.99
25331,type1,p4,nob/c,3.375
25332,type1,p3,nob/c,3.875
25333,type1,p3,nob/c,0
25334,type1,p3,nob/c,4.18
25335,type1,p4,nob/c,3.99
25336,type1,p3,nob/c,3.99
25337,type1,p1,nob/c,4.75
25338,type1,p1,nob/c,3.99
25339,type1,p3,nob/c,3.5
25340,type3,p3,nob/c,0
25341,type2,p1,b/c,0
25342,type1,p3,nob/c,4.125
25343,type1,p2,nob/c,0
25344,type2,p3,b/c,0
25345,type1,p1,nob/c,3.625
25346,type3,p3,nob/c,3.99
25347,type2,p1,b/c,4.375
25348,type1,p3,nob/c,3.25
25349,type3,p1,nob/c,0
25350,type3,p4,nob/c,3.75
25351,type1,p4,nob/c,3.875
25352,type1,p1,nob/c,3.875
25353,type3,p4,nob/c,0
25354,type1,p2,nob/c,0
25355,type1,p1,nob/c,0
25356,type1,p3,nob/c,4.99
25357,type1,p3,nob/c,3.75
25358,type1,p1,nob/c,3.125
25359,type1,p4,nob/c,3.75
25360,type2,p3,b/c,3.875
25361,type2,p1,b/c,3.875
25362,type1,p1,nob/c,3.25
25363,type1,p4,nob/c,4.375
25364,type2,p3,b/c,0
25365,type1,p3,nob/c,2.99
25366,type1,p1,nob/c,0
25367,type1,p3,nob/c,3.99
25368,type3,p3,nob/c,3.75
25369,type1,p3,nob/c,4.5
25370,type3,p4,nob/c,2.75
25371,type1,p1,nob/c,4.375
25372,type1,p4,nob/c,3.99
25373,type3,p1,nob/c,3.75
25374,type1,p3,nob/c,4.56
25375,type1,p4,nob/c,4.375
25376,type1,p3,nob/c,5.375
25377,type1,p4,nob/c,0
25378,type2,p3,b/c,0
25379,type1,p4,nob/c,3.75
25380,type1,p4,nob/c,3.75
25381,type1,p3,nob/c,4.75
25382,type1,p3,nob/c,0
25383,type2,p3,b/c,0
25384,type1,p4,nob/c,3.125
25385,type3,p4,nob/c,2.99
25386,type1,p3,nob/c,3.5
25387,type3,p3,nob/c,4.125
25388,type3,p4,nob/c,3
25389,type2,p4,b/c,3.5
25390,type2,p1,b/c,4.125
25391,type1,p4,nob/c,3.69
25392,type1,p2,nob/c,0
25393,type1,p4,nob/c,3.69
25394,type1,p3,nob/c,0
25395,type2,p4,b/c,0
25396,type2,p3,b/c,4.99
25397,type3,p4,nob/c,0
25398,type1,p1,nob/c,3.5
25399,type1,p4,nob/c,3.625
25400,type1,p4,nob/c,3.625
25401,type1,p4,nob/c,4.625
25402,type1,p3,nob/c,3.99
25403,type1,p4,nob/c,3.99
25404,type1,p1,nob/c,4.375
25405,type1,p1,nob/c,0
25406,type1,p4,nob/c,3.69
25407,type1,p1,nob/c,4.125
25408,type1,p4,nob/c,3.75
25409,type2,p3,b/c,4.25
25410,type1,p1,nob/c,4.56
25411,type1,p4,nob/c,3.625
25412,type1,p4,nob/c,3.75
25413,type2,p1,b/c,4.5
25414,type1,p1,nob/c,0
25415,type1,p3,nob/c,3.75
25416,type1,p4,nob/c,0
25417,type1,p3,nob/c,4.125
25418,type1,p2,nob/c,4.25
25419,type1,p4,nob/c,0
25420,type1,p4,nob/c,4.125
25421,type1,p3,nob/c,3.125
25422,type1,p3,nob/c,4.99
25423,type1,p3,nob/c,3.625
25424,type3,p4,nob/c,3.25
25425,type3,p4,nob/c,2.99
25426,type1,p3,nob/c,3.375
25427,type1,p3,nob/c,4.18
25428,type1,p3,nob/c,3.25
25429,type1,p4,nob/c,2.99
25430,type1,p3,nob/c,0
25431,type1,p4,nob/c,0
25432,type2,p4,b/c,3.625
25433,type1,p4,nob/c,4.56
25434,type1,p3,nob/c,0
25435,type3,p3,nob/c,4.5
25436,type1,p3,nob/c,4.375
25437,type1,p4,nob/c,3.625
25438,type1,p1,nob/c,5.125
25439,type1,p1,nob/c,4
25440,type1,p4,nob/c,4.375
25441,type1,p3,nob/c,4.5
25442,type1,p1,nob/c,3.625
25443,type1,p4,nob/c,3.625
25444,type3,p4,nob/c,4.125
25445,type1,p1,nob/c,4.99
25446,type1,p1,nob/c,3.99
25447,type2,p4,b/c,0
25448,type1,p3,nob/c,4.625
25449,type1,p1,nob/c,4.5
25450,type2,p3,b/c,0
25451,type1,p4,nob/c,4.75
25452,type1,p4,nob/c,0
25453,type1,p3,nob/c,0
25454,type1,p4,nob/c,4.99
25455,type1,p2,nob/c,4.75
25456,type1,p3,nob/c,4.25
25457,type3,p3,nob/c,0
25458,type3,p4,nob/c,3.625
25459,type1,p3,nob/c,4.75
25460,type3,p4,nob/c,3.75
25461,type1,p3,nob/c,4.125
25462,type1,p1,nob/c,4.375
25463,type1,p1,nob/c,0
25464,type1,p4,nob/c,3.625
25465,type1,p3,nob/c,3.875
25466,type1,p4,nob/c,4.56
25467,type3,p3,nob/c,2.99
25468,type1,p3,nob/c,3.625
25469,type3,p3,nob/c,3.875
25470,type1,p4,nob/c,3.99
25471,type1,p1,nob/c,3.875
25472,type1,p4,nob/c,0
25473,type2,p4,b/c,0
25474,type3,p3,nob/c,5.5
25475,type1,p2,nob/c,0
25476,type2,p4,b/c,0
25477,type1,p1,nob/c,4.625
25478,type1,p3,nob/c,4.625
25479,type2,p4,b/c,0
25480,type1,p3,nob/c,4.875
25481,type1,p4,nob/c,3.99
25482,type1,p3,nob/c,4.625
25483,type2,p1,b/c,0
25484,type1,p1,nob/c,0
25485,type1,p4,nob/c,4.18
25486,type1,p3,nob/c,3.99
25487,type1,p4,nob/c,3.75
25488,type1,p1,nob/c,3.99
25489,type1,p4,nob/c,0
25490,type3,p4,nob/c,2.75
25491,type1,p4,nob/c,3.99
25492,type1,p4,nob/c,4.18
25493,type2,p3,b/c,0
25494,type2,p4,b/c,3.75
25495,type2,p3,b/c,0
25496,type3,p4,nob/c,2.99
25497,type2,p4,b/c,3.5
25498,type1,p4,nob/c,3.625
25499,type1,p4,nob/c,4.75
25500,type1,p1,nob/c,4
25501,type1,p3,nob/c,4.375
25502,type1,p2,nob/c,0
25503,type1,p3,nob/c,4.5
25504,type2,p4,b/c,0
25505,type2,p4,b/c,4.375
25506,type1,p4,nob/c,4.875
25507,type1,p4,nob/c,3.625
25508,type1,p1,nob/c,3.69
25509,type2,p2,b/c,4.25
25510,type1,p3,nob/c,4.99
25511,type2,p3,b/c,3.49
25512,type1,p3,nob/c,4.25
25513,type1,p4,nob/c,0
25514,type1,p1,nob/c,4.99
25515,type2,p1,b/c,4.125
25516,type2,p3,b/c,0
25517,type1,p3,nob/c,4.875
25518,type1,p1,nob/c,0
25519,type1,p3,nob/c,4.99
25520,type1,p3,nob/c,0
25521,type1,p4,nob/c,3.5
25522,type1,p4,nob/c,3.625
25523,type1,p1,nob/c,3.625
25524,type1,p3,nob/c,3.99
25525,type1,p3,nob/c,3.99
25526,type1,p3,nob/c,3.99
25527,type3,p4,nob/c,3.625
25528,type1,p3,nob/c,4.75
25529,type1,p3,nob/c,3.99
25530,type2,p3,b/c,3.375
25531,type1,p3,nob/c,4.56
25532,type1,p3,nob/c,0
25533,type1,p4,nob/c,4.5
25534,type1,p3,nob/c,3.25
25535,type1,p1,nob/c,0
25536,type2,p1,b/c,3.49
25537,type1,p4,nob/c,4.375
25538,type1,p4,nob/c,3.875
25539,type1,p4,nob/c,4
25540,type1,p3,nob/c,0
25541,type3,p3,nob/c,3.49
25542,type1,p3,nob/c,4.625
25543,type1,p4,nob/c,3.875
25544,type1,p3,nob/c,4.25
25545,type3,p4,nob/c,4.125
25546,type1,p3,nob/c,3.5
25547,type1,p1,nob/c,3.875
25548,type1,p3,nob/c,0
25549,type1,p4,nob/c,3.99
25550,type1,p4,nob/c,0
25551,type1,p4,nob/c,3.99
25552,type1,p4,nob/c,3.375
25553,type1,p1,nob/c,3.625
25554,type1,p4,nob/c,3.625
25555,type2,p4,b/c,3.49
25556,type1,p4,nob/c,3.75
25557,type1,p4,nob/c,3.75
25558,type1,p4,nob/c,4.25
25559,type2,p1,b/c,3.25
25560,type1,p4,nob/c,4.25
25561,type1,p1,nob/c,0
25562,type2,p3,b/c,0
25563,type1,p4,nob/c,4.5
25564,type1,p3,nob/c,0
25565,type1,p4,nob/c,3.25
25566,type2,p1,b/c,2.875
25567,type2,p4,b/c,3.625
25568,type1,p3,nob/c,3.99
25569,type1,p3,nob/c,4.99
25570,type2,p3,b/c,4.75
25571,type2,p4,b/c,4.25
25572,type1,p1,nob/c,4.25
25573,type2,p3,b/c,0
25574,type1,p3,nob/c,4.125
25575,type3,p4,nob/c,3.125
25576,type1,p3,nob/c,3.69
25577,type1,p1,nob/c,3.99
25578,type1,p1,nob/c,0
25579,type3,p3,nob/c,5.125
25580,type1,p1,nob/c,4.375
25581,type1,p3,nob/c,3.99
25582,type3,p3,nob/c,3.375
25583,type2,p4,b/c,3.49
25584,type2,p4,b/c,0
25585,type1,p4,nob/c,3.125
25586,type2,p3,b/c,3.99
25587,type2,p3,b/c,3.25
25588,type1,p4,nob/c,0
25589,type2,p4,b/c,3.125
25590,type3,p1,nob/c,3.75
25591,type3,p3,nob/c,0
25592,type1,p1,nob/c,4
25593,type1,p3,nob/c,4.875
25594,type3,p3,nob/c,0
25595,type2,p4,b/c,0
25596,type1,p1,nob/c,4.625
25597,type1,p4,nob/c,3.5
25598,type2,p3,b/c,4.5
25599,type1,p4,nob/c,4
25600,type1,p1,nob/c,0
25601,type1,p4,nob/c,0
25602,type1,p3,nob/c,3.75
25603,type1,p4,nob/c,3.25
25604,type3,p3,nob/c,3.75
25605,type2,p1,b/c,4.5
25606,type1,p4,nob/c,0
25607,type1,p3,nob/c,5.25
25608,type3,p1,nob/c,3.25
25609,type1,p1,nob/c,4.25
25610,type1,p1,nob/c,3.99
25611,type2,p3,b/c,3.99
25612,type2,p1,b/c,4.75
25613,type3,p4,nob/c,3.49
25614,type1,p4,nob/c,3.875
25615,type1,p3,nob/c,3.99
25616,type1,p4,nob/c,0
25617,type1,p4,nob/c,3.75
25618,type3,p4,nob/c,3.25
25619,type1,p1,nob/c,0
25620,type3,p4,nob/c,3.49
25621,type1,p1,nob/c,0
25622,type1,p4,nob/c,4.125
25623,type1,p1,nob/c,3.625
25624,type1,p4,nob/c,3.99
25625,type1,p4,nob/c,3.25
25626,type1,p4,nob/c,3.625
25627,type2,p1,b/c,0
25628,type1,p4,nob/c,4.75
25629,type2,p1,b/c,3.49
25630,type1,p3,nob/c,3.875
25631,type1,p4,nob/c,3.99
25632,type3,p3,nob/c,0
25633,type2,p4,b/c,0
25634,type2,p4,b/c,3.625
25635,type2,p1,b/c,3.75
25636,type2,p3,b/c,0
25637,type1,p4,nob/c,4.625
25638,type1,p1,nob/c,0
25639,type1,p3,nob/c,0
25640,type3,p3,nob/c,0
25641,type1,p3,nob/c,3.75
25642,type1,p3,nob/c,2.99
25643,type1,p4,nob/c,4.25
25644,type2,p4,b/c,3.25
25645,type2,p4,b/c,2.875
25646,type2,p1,b/c,0
25647,type1,p1,nob/c,0
25648,type1,p2,nob/c,0
25649,type2,p1,b/c,3.25
25650,type1,p3,nob/c,3.875
25651,type1,p1,nob/c,3.625
25652,type1,p3,nob/c,0
25653,type1,p3,nob/c,4.25
25654,type1,p3,nob/c,3.99
25655,type1,p4,nob/c,4.99
25656,type1,p3,nob/c,4.99
25657,type1,p3,nob/c,3.625
25658,type1,p3,nob/c,4.75
25659,type1,p4,nob/c,4.5
25660,type1,p3,nob/c,0
25661,type1,p4,nob/c,4.5
25662,type1,p3,nob/c,5.125
25663,type2,p3,b/c,3.99
25664,type1,p3,nob/c,3.375
25665,type1,p3,nob/c,5.375
25666,type1,p1,nob/c,3.75
25667,type2,p3,b/c,4.5
25668,type1,p3,nob/c,0
25669,type1,p4,nob/c,0
25670,type1,p1,nob/c,3.99
25671,type1,p4,nob/c,3.625
25672,type1,p4,nob/c,0
25673,type1,p4,nob/c,4.25
25674,type1,p1,nob/c,0
25675,type1,p1,nob/c,0
25676,type1,p3,nob/c,4.375
25677,type1,p3,nob/c,4.75
25678,type1,p1,nob/c,3.99
25679,type3,p3,nob/c,3.125
25680,type1,p4,nob/c,3.75
25681,type1,p3,nob/c,0
25682,type1,p3,nob/c,3.99
25683,type2,p1,b/c,4.5
25684,type1,p3,nob/c,3.99
25685,type1,p1,nob/c,4.875
25686,type1,p1,nob/c,0
25687,type1,p3,nob/c,3.99
25688,type1,p3,nob/c,4.375
25689,type2,p3,b/c,4.99
25690,type1,p3,nob/c,0
25691,type1,p1,nob/c,0
25692,type1,p3,nob/c,4.75
25693,type1,p4,nob/c,4.25
25694,type3,p1,nob/c,4.375
25695,type1,p4,nob/c,0
25696,type1,p4,nob/c,3.625
