Loan_ID,Date_ID,Recipient_ID,LoanOfficer_ID,loan_amount,Upfront_charges,property_value
24958,1000069,1000069,605,226500,0,258000
24959,1000070,1000070,54,316500,4771.25,928000
24960,1000071,1000071,825,156500,3000,208000
24961,1000072,1000072,508,706500,1645.03,748000
24962,1000073,1000073,136,196500,5493.02,318000
24963,1000074,1000074,194,166500,1680,168000
24964,1000075,1000075,776,486500,7305,1198000
24965,1000076,1000076,641,406500,0,428000
24966,1000077,1000077,377,146500,0,188000
24967,1000078,1000078,801,306500,1330.09,408000
24968,1000079,1000079,753,266500,6245,298000
24969,1000080,1000080,528,436500,9323.75,588000
24970,1000081,1000081,218,446500,0,1308000
24971,1000082,1000082,400,216500,0,218000
24972,1000083,1000083,47,476500,0,688000
24973,1000084,1000084,318,466500,1790.25,658000
24974,1000085,1000085,515,326500,0,
24975,1000086,1000086,58,656500,0,678000
24976,1000087,1000087,433,506500,0,808000
24977,1000088,1000088,378,246500,0,358000
24978,1000089,1000089,196,186500,0,288000
24979,1000090,1000090,359,56500,0,2008000
24980,1000091,1000091,300,486500,4177.19,578000
24981,1000092,1000092,646,346500,6370,3408000
24982,1000093,1000093,159,136500,2940.31,348000
24983,1000094,1000094,665,586500,2800,588000
24984,1000095,1000095,291,336500,0,
24985,1000096,1000096,592,76500,1818.9,88000
24986,1000097,1000097,608,286500,0,258000
24987,1000098,1000098,106,136500,3817.34,208000
24988,1000099,1000099,537,486500,11957.75,598000
24989,1000100,1000100,130,416500,7265.8,498000
24990,1000101,1000101,447,186500,4950,348000
24991,1000102,1000102,898,186500,0,
24992,1000103,1000103,158,316500,7628.9,318000
24993,1000104,1000104,541,346500,0,478000
24994,1000105,1000105,175,326500,9271.25,438000
24995,1000106,1000106,36,256500,0,818000
24996,1000107,1000107,481,226500,0,408000
24997,1000108,1000108,7,226500,1164.27,588000
24998,1000109,1000109,494,906500,1702.16,1308000
24999,1000110,1000110,164,386500,5634.69,558000
25000,1000111,1000111,841,496500,0,508000
25001,1000112,1000112,626,106500,0,
25002,1000113,1000113,674,186500,5937.5,528000
25003,1000114,1000114,669,246500,7.9,288000
25004,1000115,1000115,252,126500,0,
25005,1000116,1000116,790,226500,2171.25,228000
25006,1000117,1000117,2,416500,0,508000
25007,1000118,1000118,713,146500,1977.81,208000
25008,1000119,1000119,1,216500,0,
25009,1000120,1000120,886,396500,5955,768000
25010,1000121,1000121,203,246500,1030.39,318000
25011,1000122,1000122,514,316500,6034.95,388000
25012,1000123,1000123,814,296500,8112.5,318000
25013,1000124,1000124,328,436500,776.37,558000
25014,1000125,1000125,261,226500,0,288000
25015,1000126,1000126,560,506500,5027.23,578000
25016,1000127,1000127,111,296500,90.03,608000
25017,1000128,1000128,34,386500,0,598000
25018,1000129,1000129,203,106500,3041.75,618000
25019,1000130,1000130,881,706500,0,898000
25020,1000131,1000131,842,176500,4736,278000
25021,1000132,1000132,485,496500,7608.1,588000
25022,1000133,1000133,889,606500,0,978000
25023,1000134,1000134,159,126500,123.61,138000
25024,1000135,1000135,639,156500,4653.09,198000
25025,1000136,1000136,706,196500,0,208000
25026,1000137,1000137,622,256500,295,1308000
25027,1000138,1000138,26,1376500,0,1708000
25028,1000139,1000139,468,376500,0,608000
25029,1000140,1000140,775,296500,3709.03,438000
25030,1000141,1000141,305,566500,0,
25031,1000142,1000142,50,416500,7530.66,858000
25032,1000143,1000143,120,476500,0,808000
25033,1000144,1000144,248,686500,0,
25034,1000145,1000145,300,556500,0,
25035,1000146,1000146,238,266500,0,568000
25036,1000147,1000147,541,406500,9618.75,458000
25037,1000148,1000148,216,256500,2476.72,758000
25038,1000149,1000149,759,236500,0,238000
25039,1000150,1000150,870,656500,0,
25040,1000151,1000151,677,156500,4115,258000
25041,1000152,1000152,897,406500,6500,478000
25042,1000153,1000153,863,476500,5284.38,638000
25043,1000154,1000154,679,676500,995,1208000
25044,1000155,1000155,346,206500,0,238000
25045,1000156,1000156,557,126500,0,188000
25046,1000157,1000157,257,366500,5060,468000
25047,1000158,1000158,815,156500,0,208000
25048,1000159,1000159,633,276500,3149.5,648000
25049,1000160,1000160,138,636500,0,668000
25050,1000161,1000161,66,486500,0,908000
25051,1000162,1000162,533,266500,1560.45,288000
25052,1000163,1000163,764,356500,2421,588000
25053,1000164,1000164,164,396500,4663.95,538000
25054,1000165,1000165,117,486500,169.53,618000
25055,1000166,1000166,335,716500,14702,1138000
25056,1000167,1000167,863,596500,0,798000
25057,1000168,1000168,365,636500,3520.2,798000
25058,1000169,1000169,805,116500,0,118000
25059,1000170,1000170,314,376500,6536.25,418000
25060,1000171,1000171,890,356500,3368.75,658000
25061,1000172,1000172,737,86500,0,88000
25062,1000173,1000173,371,226500,6549.46,288000
25063,1000174,1000174,77,66500,1772.02,198000
25064,1000175,1000175,745,556500,935,628000
25065,1000176,1000176,299,376500,0,378000
25066,1000177,1000177,346,106500,0,118000
25067,1000178,1000178,50,316500,0,428000
25068,1000179,1000179,689,116500,3718.63,138000
25069,1000180,1000180,841,86500,415,308000
25070,1000181,1000181,460,326500,0,318000
25071,1000182,1000182,805,176500,2665.52,218000
25072,1000183,1000183,274,156500,0,158000
25073,1000184,1000184,71,346500,6935.77,418000
25074,1000185,1000185,154,616500,1958.1,828000
25075,1000186,1000186,813,456500,0,578000
25076,1000187,1000187,700,96500,2054.53,138000
25077,1000188,1000188,533,256500,5220.49,398000
25078,1000189,1000189,814,146500,2920.33,158000
25079,1000190,1000190,300,316500,7035.03,468000
25080,1000191,1000191,187,76500,0,
25081,1000192,1000192,449,406500,0,408000
25082,1000193,1000193,141,116500,0,108000
25083,1000194,1000194,283,136500,0,278000
25084,1000195,1000195,806,206500,0,248000
25085,1000196,1000196,409,306500,0,
25086,1000197,1000197,489,166500,2650,618000
25087,1000198,1000198,291,216500,0,228000
25088,1000199,1000199,85,306500,0,338000
25089,1000200,1000200,347,826500,485.55,1268000
25090,1000201,1000201,244,136500,2882.81,138000
25091,1000202,1000202,675,346500,3334.84,538000
25092,1000203,1000203,357,386500,0,558000
25093,1000204,1000204,388,706500,0,1068000
25094,1000205,1000205,355,276500,8010,338000
25095,1000206,1000206,214,26500,662.44,78000
25096,1000207,1000207,283,276500,8079.2,488000
25097,1000208,1000208,43,186500,1150,388000
25098,1000209,1000209,692,366500,0,858000
25099,1000210,1000210,680,666500,1063.16,768000
25100,1000211,1000211,708,226500,2280,288000
25101,1000212,1000212,487,106500,0,
25102,1000213,1000213,72,426500,0,438000
25103,1000214,1000214,451,216500,0,408000
25104,1000215,1000215,60,146500,1109.31,148000
25105,1000216,1000216,839,676500,0,1298000
25106,1000217,1000217,599,316500,0,298000
25107,1000218,1000218,741,76500,2650,208000
25108,1000219,1000219,790,446500,0,638000
25109,1000220,1000220,835,256500,0,548000
25110,1000221,1000221,283,406500,0,
25111,1000222,1000222,436,196500,0,
25112,1000223,1000223,55,266500,0,358000
25113,1000224,1000224,713,196500,3620,248000
25114,1000225,1000225,430,56500,0,158000
25115,1000226,1000226,552,546500,0,
25116,1000227,1000227,810,336500,10510.76,808000
25117,1000228,1000228,734,986500,19700,1298000
25118,1000229,1000229,17,566500,0,578000
25119,1000230,1000230,726,526500,0,748000
25120,1000231,1000231,849,476500,0,
25121,1000232,1000232,754,186500,3454.55,218000
25122,1000233,1000233,753,316500,5301.38,418000
25123,1000234,1000234,97,276500,6656,318000
25124,1000235,1000235,622,606500,0,648000
25125,1000236,1000236,105,476500,7618.75,638000
25126,1000237,1000237,182,526500,0,788000
25127,1000238,1000238,800,566500,0,928000
25128,1000239,1000239,180,236500,1752.4,318000
25129,1000240,1000240,450,256500,3698,388000
25130,1000241,1000241,43,586500,0,
25131,1000242,1000242,548,316500,0,
25132,1000243,1000243,894,156500,2812.5,278000
25133,1000244,1000244,579,436500,0,518000
25134,1000245,1000245,607,486500,4275,938000
25135,1000246,1000246,598,356500,0,488000
25136,1000247,1000247,656,266500,0,378000
25137,1000248,1000248,133,186500,1552.63,418000
25138,1000249,1000249,397,126500,1928.39,218000
25139,1000250,1000250,439,276500,0,388000
25140,1000251,1000251,735,106500,2980.63,148000
25141,1000252,1000252,447,386500,5129,448000
25142,1000253,1000253,396,376500,0,598000
25143,1000254,1000254,770,206500,5344.5,288000
25144,1000255,1000255,699,286500,0,
25145,1000256,1000256,647,486500,906.97,888000
25146,1000257,1000257,888,406500,0,808000
25147,1000258,1000258,482,146500,0,158000
25148,1000259,1000259,843,156500,2607.66,178000
25149,1000260,1000260,567,476500,0,498000
25150,1000261,1000261,530,86500,0,208000
25151,1000262,1000262,420,246500,7064.56,298000
25152,1000263,1000263,141,596500,2572.4,608000
25153,1000264,1000264,474,556500,12800,838000
25154,1000265,1000265,898,1226500,12500,1758000
25155,1000266,1000266,859,266500,0,
25156,1000267,1000267,741,196500,0,198000
25157,1000268,1000268,104,416500,916,658000
25158,1000269,1000269,159,206500,0,188000
25159,1000270,1000270,266,106500,0,
25160,1000271,1000271,281,386500,154.68,648000
25161,1000272,1000272,801,246500,1305.85,348000
25162,1000273,1000273,390,266500,0,308000
25163,1000274,1000274,286,336500,590.73,358000
25164,1000275,1000275,867,126500,0,148000
25165,1000276,1000276,488,206500,1150,378000
25166,1000277,1000277,617,66500,0,78000
25167,1000278,1000278,340,476500,0,748000
25168,1000279,1000279,323,376500,7866.73,478000
25169,1000280,1000280,40,256500,4486.63,278000
25170,1000281,1000281,359,316500,810.9,558000
25171,1000282,1000282,771,426500,0,
25172,1000283,1000283,87,216500,3432.4,328000
25173,1000284,1000284,399,436500,9465.73,628000
25174,1000285,1000285,335,126500,1150,298000
25175,1000286,1000286,384,96500,3518.7,158000
25176,1000287,1000287,254,406500,0,838000
25177,1000288,1000288,192,336500,0,358000
25178,1000289,1000289,582,426500,10625,588000
25179,1000290,1000290,355,416500,1830,608000
25180,1000291,1000291,55,186500,0,218000
25181,1000292,1000292,874,606500,1900,1508000
25182,1000293,1000293,337,446500,0,538000
25183,1000294,1000294,47,156500,0,158000
25184,1000295,1000295,257,256500,961.32,258000
25185,1000296,1000296,12,336500,1036.21,458000
25186,1000297,1000297,305,406500,2752.55,668000
25187,1000298,1000298,110,266500,0,
25188,1000299,1000299,798,266500,209.91,258000
25189,1000300,1000300,301,156500,0,328000
25190,1000301,1000301,851,186500,0,
25191,1000302,1000302,452,636500,0,
25192,1000303,1000303,358,286500,0,
25193,1000304,1000304,142,266500,2187.35,278000
25194,1000305,1000305,100,266500,6261.1,378000
25195,1000306,1000306,64,226500,6172.13,308000
25196,1000307,1000307,567,146500,3230.05,178000
25197,1000308,1000308,684,166500,0,168000
25198,1000309,1000309,467,76500,797.77,78000
25199,1000310,1000310,817,336500,0,
25200,1000311,1000311,39,266500,3952.93,408000
25201,1000312,1000312,731,186500,625.63,228000
25202,1000313,1000313,192,506500,1481.59,498000
25203,1000314,1000314,283,286500,0,428000
25204,1000315,1000315,885,566500,0,598000
25205,1000316,1000316,487,366500,1250,658000
25206,1000317,1000317,528,426500,1250,668000
25207,1000318,1000318,561,296500,4441,378000
25208,1000319,1000319,641,676500,3044.07,978000
25209,1000320,1000320,375,526500,4497.05,718000
25210,1000321,1000321,565,256500,4750,368000
25211,1000322,1000322,148,266500,5166.3,328000
25212,1000323,1000323,455,216500,1150,288000
25213,1000324,1000324,90,156500,642.31,288000
25214,1000325,1000325,432,726500,0,
25215,1000326,1000326,737,486500,1644.21,538000
25216,1000327,1000327,748,256500,0,358000
25217,1000328,1000328,408,396500,0,568000
25218,1000329,1000329,12,236500,0,
25219,1000330,1000330,409,236500,0,308000
25220,1000331,1000331,583,1486500,5818.5,2128000
25221,1000332,1000332,215,156500,4281,398000
25222,1000333,1000333,563,86500,2291.25,248000
25223,1000334,1000334,274,1416500,13611.13,3848000
25224,1000335,1000335,569,396500,5811.67,408000
25225,1000336,1000336,849,486500,0,998000
25226,1000337,1000337,675,216500,0,338000
25227,1000338,1000338,711,266500,2932.5,318000
25228,1000339,1000339,312,466500,0,618000
25229,1000340,1000340,61,156500,4603.25,258000
25230,1000341,1000341,429,606500,0,668000
25231,1000342,1000342,388,246500,0,258000
25232,1000343,1000343,19,316500,2235,548000
25233,1000344,1000344,51,556500,12371.68,738000
25234,1000345,1000345,185,266500,0,298000
25235,1000346,1000346,448,306500,0,328000
25236,1000347,1000347,86,456500,0,778000
25237,1000348,1000348,27,116500,0,138000
25238,1000349,1000349,425,206500,0,
25239,1000350,1000350,842,556500,0,688000
25240,1000351,1000351,461,486500,0,
25241,1000352,1000352,27,186500,0,208000
25242,1000353,1000353,613,266500,0,318000
25243,1000354,1000354,116,136500,4341.98,188000
25244,1000355,1000355,608,536500,6314.88,818000
25245,1000356,1000356,50,186500,2617.25,288000
25246,1000357,1000357,711,796500,0,2398000
25247,1000358,1000358,45,336500,0,518000
25248,1000359,1000359,662,196500,0,228000
25249,1000360,1000360,346,536500,0,
25250,1000361,1000361,458,166500,5033.28,238000
25251,1000362,1000362,898,336500,0,
25252,1000363,1000363,893,136500,474.77,148000
25253,1000364,1000364,210,106500,3024.13,138000
25254,1000365,1000365,261,176500,4335,228000
25255,1000366,1000366,835,446500,0,
25256,1000367,1000367,718,416500,4150,418000
25257,1000368,1000368,83,96500,3561.22,158000
25258,1000369,1000369,827,306500,516.96,308000
25259,1000370,1000370,146,406500,4008.15,718000
25260,1000371,1000371,826,416500,0,498000
25261,1000372,1000372,205,156500,346.68,158000
25262,1000373,1000373,285,126500,3437.5,178000
25263,1000374,1000374,551,406500,0,608000
25264,1000375,1000375,436,506500,2995,728000
25265,1000376,1000376,413,516500,6052,588000
25266,1000377,1000377,212,556500,939.2,628000
25267,1000378,1000378,898,296500,4543.05,408000
25268,1000379,1000379,621,246500,3012.5,348000
25269,1000380,1000380,459,246500,5510.58,338000
25270,1000381,1000381,565,226500,0,288000
25271,1000382,1000382,506,156500,2428.15,198000
25272,1000383,1000383,300,176500,5030.25,298000
25273,1000384,1000384,595,266500,7198.44,408000
25274,1000385,1000385,306,216500,32.1,318000
25275,1000386,1000386,415,416500,0,478000
25276,1000387,1000387,738,106500,0,
25277,1000388,1000388,88,456500,8167.53,568000
25278,1000389,1000389,795,456500,4347.8,858000
25279,1000390,1000390,853,96500,0,108000
25280,1000391,1000391,112,126500,1660,218000
25281,1000392,1000392,779,246500,295,778000
25282,1000393,1000393,718,496500,1911.16,628000
25283,1000394,1000394,666,156500,0,418000
25284,1000395,1000395,228,156500,0,168000
25285,1000396,1000396,531,326500,0,
25286,1000397,1000397,794,86500,0,138000
25287,1000398,1000398,843,376500,7347.81,398000
25288,1000399,1000399,381,206500,0,408000
25289,1000400,1000400,366,116500,2915,148000
25290,1000401,1000401,299,156500,0,168000
25291,1000402,1000402,586,266500,0,
25292,1000403,1000403,770,136500,0,168000
25293,1000404,1000404,394,276500,4062.58,358000
25294,1000405,1000405,413,86500,2843.93,108000
25295,1000406,1000406,605,46500,1700,98000
25296,1000407,1000407,436,356500,295,958000
25297,1000408,1000408,5,456500,4625,778000
25298,1000409,1000409,386,176500,5724.7,298000
25299,1000410,1000410,549,516500,0,
25300,1000411,1000411,680,876500,0,1268000
25301,1000412,1000412,752,586500,4557.15,618000
25302,1000413,1000413,69,206500,0,298000
25303,1000414,1000414,170,426500,0,488000
25304,1000415,1000415,807,126500,2378.01,148000
25305,1000416,1000416,356,306500,0,
25306,1000417,1000417,834,246500,4550,348000
25307,1000418,1000418,489,256500,0,358000
25308,1000419,1000419,191,126500,252.03,268000
25309,1000420,1000420,177,386500,0,498000
25310,1000421,1000421,483,156500,0,178000
25311,1000422,1000422,38,486500,0,
25312,1000423,1000423,307,406500,215,558000
25313,1000424,1000424,112,656500,11470.17,708000
25314,1000425,1000425,608,506500,6252.81,588000
25315,1000426,1000426,377,196500,3705.5,258000
25316,1000427,1000427,69,566500,1728.49,608000
25317,1000428,1000428,419,106500,1235,448000
25318,1000429,1000429,119,516500,0,498000
25319,1000430,1000430,152,66500,2080,68000
25320,1000431,1000431,865,216500,4850.45,298000
25321,1000432,1000432,272,476500,0,618000
25322,1000433,1000433,99,96500,0,118000
25323,1000434,1000434,367,246500,4325.85,318000
25324,1000435,1000435,331,86500,1958.35,118000
25325,1000436,1000436,576,176500,3029.75,228000
25326,1000437,1000437,382,436500,0,578000
25327,1000438,1000438,597,336500,5168.85,558000
25328,1000439,1000439,314,216500,0,298000
25329,1000440,1000440,162,366500,1061.59,378000
25330,1000441,1000441,516,226500,0,238000
25331,1000442,1000442,691,126500,1401.13,148000
25332,1000443,1000443,409,216500,0,518000
25333,1000444,1000444,787,406500,0,678000
25334,1000445,1000445,564,206500,4790,278000
25335,1000446,1000446,200,166500,5279.54,198000
25336,1000447,1000447,207,146500,4285.11,458000
25337,1000448,1000448,256,506500,1845,538000
25338,1000449,1000449,893,116500,2955,128000
25339,1000450,1000450,286,366500,0,928000
25340,1000451,1000451,113,266500,0,
25341,1000452,1000452,448,226500,0,228000
25342,1000453,1000453,735,266500,370.63,358000
25343,1000454,1000454,821,86500,0,138000
25344,1000455,1000455,218,116500,0,
25345,1000456,1000456,176,196500,7095.46,358000
25346,1000457,1000457,6,186500,5850,258000
25347,1000458,1000458,521,346500,3825.11,358000
25348,1000459,1000459,365,506500,0,878000
25349,1000460,1000460,587,126500,0,128000
25350,1000461,1000461,783,506500,0,618000
25351,1000462,1000462,876,306500,6090,438000
25352,1000463,1000463,267,506500,0,538000
25353,1000464,1000464,897,356500,0,
25354,1000465,1000465,199,106500,0,188000
25355,1000466,1000466,601,496500,0,
25356,1000467,1000467,285,486500,1250,948000
25357,1000468,1000468,148,136500,4214.38,268000
25358,1000469,1000469,740,186500,4052.79,238000
25359,1000470,1000470,298,546500,1778.62,858000
25360,1000471,1000471,504,176500,2838.9,198000
25361,1000472,1000472,518,456500,9783.36,468000
25362,1000473,1000473,420,416500,3240,698000
25363,1000474,1000474,580,356500,5637.5,528000
25364,1000475,1000475,62,526500,0,658000
25365,1000476,1000476,515,256500,5760,508000
25366,1000477,1000477,518,566500,0,
25367,1000478,1000478,488,196500,6370,408000
25368,1000479,1000479,495,336500,0,418000
25369,1000480,1000480,58,406500,6699.95,578000
25370,1000481,1000481,644,446500,4929.95,568000
25371,1000482,1000482,157,316500,1926,328000
25372,1000483,1000483,36,286500,1250,318000
25373,1000484,1000484,419,206500,0,208000
25374,1000485,1000485,728,146500,3155,318000
25375,1000486,1000486,432,446500,267.35,588000
25376,1000487,1000487,812,226500,3931.25,318000
25377,1000488,1000488,871,406500,0,478000
25378,1000489,1000489,127,446500,0,
25379,1000490,1000490,736,306500,0,518000
25380,1000491,1000491,438,256500,4159.03,398000
25381,1000492,1000492,301,206500,3608.63,298000
25382,1000493,1000493,79,576500,0,978000
25383,1000494,1000494,532,256500,0,348000
25384,1000495,1000495,542,556500,0,798000
25385,1000496,1000496,897,236500,4595.02,298000
25386,1000497,1000497,267,486500,13964.19,928000
25387,1000498,1000498,297,416500,1990,488000
25388,1000499,1000499,707,276500,1722.89,308000
25389,1000500,1000500,725,126500,4478.4,148000
25390,1000501,1000501,703,326500,0,338000
25391,1000502,1000502,52,486500,941.4,658000
25392,1000503,1000503,115,176500,0,
25393,1000504,1000504,23,406500,0,548000
25394,1000505,1000505,350,726500,0,
25395,1000506,1000506,759,266500,0,288000
25396,1000507,1000507,704,216500,4054.09,258000
25397,1000508,1000508,547,366500,0,598000
25398,1000509,1000509,634,566500,2131.24,628000
25399,1000510,1000510,733,386500,0,488000
25400,1000511,1000511,169,506500,209,678000
25401,1000512,1000512,413,226500,5358.88,258000
25402,1000513,1000513,238,416500,6425,808000
25403,1000514,1000514,802,176500,4156.25,268000
25404,1000515,1000515,875,506500,1890,678000
25405,1000516,1000516,823,396500,0,388000
25406,1000517,1000517,266,606500,4341,828000
25407,1000518,1000518,699,626500,995,788000
25408,1000519,1000519,774,576500,0,2608000
25409,1000520,1000520,416,126500,2329.8,148000
25410,1000521,1000521,284,556500,2839,618000
25411,1000522,1000522,621,546500,0,728000
25412,1000523,1000523,663,196500,1410.34,278000
25413,1000524,1000524,309,126500,2587.02,128000
25414,1000525,1000525,357,356500,0,
25415,1000526,1000526,732,286500,5250,368000
25416,1000527,1000527,474,166500,0,
25417,1000528,1000528,514,226500,4701.56,298000
25418,1000529,1000529,826,486500,503.24,858000
25419,1000530,1000530,826,156500,0,
25420,1000531,1000531,614,236500,295,738000
25421,1000532,1000532,870,486500,16087.19,828000
25422,1000533,1000533,656,186500,2378.13,378000
25423,1000534,1000534,455,396500,12246.98,568000
25424,1000535,1000535,51,346500,0,408000
25425,1000536,1000536,431,626500,6875.07,628000
25426,1000537,1000537,798,336500,3905.9,578000
25427,1000538,1000538,695,306500,4241.88,528000
25428,1000539,1000539,106,416500,6022.5,558000
25429,1000540,1000540,231,436500,14135.15,908000
25430,1000541,1000541,831,486500,0,578000
25431,1000542,1000542,411,286500,0,
25432,1000543,1000543,293,516500,0,638000
25433,1000544,1000544,706,596500,4720,758000
25434,1000545,1000545,296,716500,0,1198000
25435,1000546,1000546,718,566500,710.51,608000
25436,1000547,1000547,596,296500,9133.25,368000
25437,1000548,1000548,773,356500,0,448000
25438,1000549,1000549,841,256500,2716.74,268000
25439,1000550,1000550,431,586500,4395,728000
25440,1000551,1000551,239,626500,0,728000
25441,1000552,1000552,224,266500,795,528000
25442,1000553,1000553,207,236500,4147.88,238000
25443,1000554,1000554,105,286500,433.6,548000
25444,1000555,1000555,732,566500,0,658000
25445,1000556,1000556,690,656500,1790,698000
25446,1000557,1000557,337,466500,4454,668000
25447,1000558,1000558,683,186500,0,218000
25448,1000559,1000559,873,416500,2722.95,798000
25449,1000560,1000560,381,356500,0,658000
25450,1000561,1000561,264,386500,0,488000
25451,1000562,1000562,886,446500,1027.03,468000
25452,1000563,1000563,639,226500,0,238000
25453,1000564,1000564,494,296500,0,
25454,1000565,1000565,610,376500,1266.47,438000
25455,1000566,1000566,481,326500,950,438000
25456,1000567,1000567,250,256500,425,488000
25457,1000568,1000568,540,206500,0,
25458,1000569,1000569,233,216500,0,218000
25459,1000570,1000570,812,706500,4705.26,888000
25460,1000571,1000571,885,246500,953.07,258000
25461,1000572,1000572,81,266500,4620,338000
25462,1000573,1000573,67,416500,0,518000
25463,1000574,1000574,711,376500,0,418000
25464,1000575,1000575,732,366500,0,538000
25465,1000576,1000576,485,276500,5975,408000
25466,1000577,1000577,569,496500,0,668000
25467,1000578,1000578,503,236500,6786.81,278000
25468,1000579,1000579,338,226500,762.4,448000
25469,1000580,1000580,361,346500,9377.5,358000
25470,1000581,1000581,562,286500,4412.33,408000
25471,1000582,1000582,346,406500,0,438000
25472,1000583,1000583,736,276500,0,298000
25473,1000584,1000584,149,166500,0,188000
25474,1000585,1000585,721,366500,3985.81,468000
25475,1000586,1000586,711,196500,0,
25476,1000587,1000587,878,216500,0,
25477,1000588,1000588,740,206500,526.68,228000
25478,1000589,1000589,840,146500,2733.44,208000
25479,1000590,1000590,136,456500,0,
25480,1000591,1000591,597,536500,3686.8,778000
25481,1000592,1000592,248,366500,5825,488000
25482,1000593,1000593,890,106500,3301,168000
25483,1000594,1000594,808,136500,0,138000
25484,1000595,1000595,429,366500,0,388000
25485,1000596,1000596,333,336500,0,608000
25486,1000597,1000597,454,446500,5650,558000
25487,1000598,1000598,347,386500,14300.25,448000
25488,1000599,1000599,335,696500,7000,778000
25489,1000600,1000600,728,236500,0,318000
25490,1000601,1000601,847,616500,6064,1048000
25491,1000602,1000602,487,196500,4943.75,338000
25492,1000603,1000603,694,576500,0,788000
25493,1000604,1000604,412,236500,0,
25494,1000605,1000605,450,236500,0,288000
25495,1000606,1000606,606,256500,0,328000
25496,1000607,1000607,757,376500,2462.74,408000
25497,1000608,1000608,320,286500,0,298000
25498,1000609,1000609,212,446500,1984.7,538000
25499,1000610,1000610,550,276500,0,348000
25500,1000611,1000611,580,386500,6242.25,398000
25501,1000612,1000612,298,216500,2761,368000
25502,1000613,1000613,73,156500,0,
25503,1000614,1000614,837,206500,3000,308000
25504,1000615,1000615,559,296500,0,288000
25505,1000616,1000616,51,306500,1342.02,338000
25506,1000617,1000617,449,276500,6547.5,348000
25507,1000618,1000618,600,296500,1,508000
25508,1000619,1000619,414,536500,0,598000
25509,1000620,1000620,402,56500,1614.85,78000
25510,1000621,1000621,629,366500,7200,488000
25511,1000622,1000622,97,346500,0,458000
25512,1000623,1000623,374,266500,1150,338000
25513,1000624,1000624,154,306500,0,408000
25514,1000625,1000625,567,126500,3170,168000
25515,1000626,1000626,808,386500,0,388000
25516,1000627,1000627,803,136500,0,168000
25517,1000628,1000628,309,486500,9640,688000
25518,1000629,1000629,756,556500,0,658000
25519,1000630,1000630,597,226500,3075,278000
